date,event,city,state,category
2019-09-22,FEIRA DA AMIZADE 2019,Engenheiro Caldas,MG,Artístico/Cultural/Folclórico
2019-09-22,Exposição Nacional de Orquídeas,Sertãozinho,SP,Comercial ou Promocional
2019-09-22,EXPOSIÇÃO DE CARROS ANTIGOS,Três Marias,MG,Outro
2019-09-22,CÍRIO N. S. DO ROSÁRIO,Curuçá,PA,Religioso
2019-09-22,COPA CHAOYANG MTB,Itabirito,MG,Esportivo
2019-09-22,ArtRio Feira de Arte do Rio de Janeiro,Rio de Janeiro,RJ,Artístico/Cultural/Folclórico
2019-09-22,ARTE E SABOR 2019,Nanuque,MG,Artístico/Cultural/Folclórico
2019-09-22,ANIVERSÁRIO DA CIDADE,Mar de Espanha,MG,Artístico/Cultural/Folclórico
2019-09-22,8 EXTREMA MOTO FEST,Extrema,MG,Outro
2019-09-22,2FESTIVAL GASTRONÔMICO CULTURAL,Itambacuri,MG,Gastronômico
2019-09-22,20 DE SETEMBRO: ANIVERSÁRIO DE FUNDAÇÃO DE OLHO D'ÁGUA DO BORGES,Olho-D'Água do Borges,RN,Social/Cívico/Histórico
2019-09-22,18 FESTA CULTURAL DE PISCAMBA,Jequeri,MG,Artístico/Cultural/Folclórico
2019-09-22,11º FESTJEEP NO MEIO DO MUNDO,Macapá,AP,Esportivo
2019-09-21,Vem dançar fandango TCHÊ - São Borja-RS,São Borja,RS,Artístico/Cultural/Folclórico
2019-09-21,Tepequém Uphill,Amajari,RR,Esportivo
2019-09-21,TRILHÃO DE BIKE DE ARANTINA,Arantina,MG,Esportivo
2019-09-21,TORNEIO MUNICIPAL DE GINÁSTICA ARTÍSTICA,Itabirito,MG,Esportivo
2019-09-21,PEDAL ECOLÓGICO,São José do Jacuri,MG,Esportivo
2019-09-21,PEDAL CDM,São José do Jacuri,MG,Esportivo
2019-09-21,NATUREZA DO SABOR | ENCONTRO GASTRONÔMICO DA SERRA DO CIPÓ,Santana do Riacho,MG,Gastronômico
2019-09-21,MISSA DE ANIVERSÁRIO DE  MORTE SERVO DE DEUS CONEGO LAFAYETTE,Santa Maria do Suaçuí,MG,Outro
2019-09-21,MARCHA PARA JESUS,Peçanha,MG,Religioso
2019-09-21,II CONGRESSO DE POLITICAS SOBRE ÁLCOOL E DROGAS,Sertãozinho,SP,Científico ou Técnico
2019-09-21,FESTIVAL GASTRONÔMICO SABORES DE TEIXEIRA DE FREITAS,Teixeira de Freitas,BA,Gastronômico
2019-09-21,FESTIVAL DO POLO DA CERVEJA ARTESANAL,Nova Lima,MG,Gastronômico
2019-09-21,FESTIVAL DE PRIMAVERA,Cláudio,MG,Artístico/Cultural/Folclórico
2019-09-21,FEIRA GASTRONÔMICA DO PASTEL DE ANGU,Itabirito,MG,Gastronômico
2019-09-21,FEIRA GASTROCULTURAL,Rio Doce,MG,Outro
2019-09-21,DIA DA ÁRVORE,Santos Dumont,MG,Outro
2019-09-21,6º CONCURSO INTERMUNICIPAL DE BANDAS E FANFARRAS,Paragominas,PA,Artístico/Cultural/Folclórico
2019-09-21,3º SÁBADO DE SETEMBRO:,Olho-D'Água do Borges,RN,Religioso
2019-09-21,"DIA DO EVENGÊLICO"" DE OLHO D'ÁGUA DO BORGES",Olho-D'Água do Borges,RN,Religioso
2019-09-20,Primarosa e Aniversário de Primavera,Rosana,SP,Artístico/Cultural/Folclórico
2019-09-20,CORRIDA DO CÍRIO,Vigia,PA,Esportivo
2019-09-20,ANVIERSÁRIO DE FUNDAÇÃO DE OLHO D'ÁGUA DO BORGES/RN,Olho-D'Água do Borges,RN,Social/Cívico/Histórico
2019-09-20,ANIVERSÁRIO DA CIDADE,Olho-D'Água do Borges,RN,Social/Cívico/Histórico
2019-09-19,ANIVERSÁRIO DA CIDADE DE RAUL SOARES,Raul Soares,MG,Social/Cívico/Histórico
2019-09-18,"50ª Semana Padre Bento Dias Pacheco, o Santo de Itu",Itu,SP,Religioso
2019-09-17,VII EDIÇÃO DA 6ª ETAPA DO CAMPEONATO PARAENSE DE MOTOCROSS DO ESTAD...,Tailândia,PA,Esportivo
2019-09-17,Rio Info,Rio de Janeiro,RJ,Científico ou Técnico
2019-09-17,ROMARIA DA LIBERTAÇÃO,Goianésia do Pará,PA,Religioso
2019-09-17,DIA MUNICIPAL DO CARIMBÓ,Irituia,PA,Artístico/Cultural/Folclórico
2019-09-16,FESTA ROMEU & JULIETA,Brasópolis,MG,Gastronômico
2019-09-15,XXXVII BAILE DO HAWAII - 2019,Tucuruí,PA,Artístico/Cultural/Folclórico
2019-09-15,XXV DEUTSCHES FEST,Juiz de Fora,MG,Artístico/Cultural/Folclórico
2019-09-15,XXIII FESTA DA BANANA DE NOVA UNIÃO,Nova União,MG,Artístico/Cultural/Folclórico
2019-09-15,XXII Exposição Agropecuária - EXPHOUMA,Humaitá,AM,Rural
2019-09-15,XVIII - Festa Nordestina,Luziânia,GO,Artístico/Cultural/Folclórico
2019-09-15,Romaria de Nossa Senhora das Dores,Juazeiro do Norte,CE,Religioso
2019-09-15,QUINZENA CULTURAL,Açucena,MG,Artístico/Cultural/Folclórico
2019-09-15,JUBILEU SERRA DA PIEDADE,Caeté,MG,Religioso
2019-09-15,JUBILEU NOSSA SENHORA DA PIEDADE,Açucena,MG,Religioso
2019-09-15,JOGOS ESTUDANTIS DA PRIMAVERA,Santos Dumont,MG,Esportivo
2019-09-15,IX Olimpíada Rural - Turvo/PR,Turvo,PR,Rural
2019-09-15,GASTRONOMIA COM ROCK,Coronel Fabriciano,MG,Esportivo
2019-09-15,Festival A ROTA ROCK,Cidade Ocidental,GO,Artístico/Cultural/Folclórico
2019-09-15,Festejo de Nossa Senhora das Dores,Cajueiro da Praia,PI,Religioso
2019-09-15,Festa de Nossa Senhora das Dores,Pedrinhas,CE,Religioso
2019-09-15,Feira Agropecuária de Castanhal,Castanhal,PA,Comercial ou Promocional
2019-09-15,FLEQUEIJO,Antônio Carlos,MG,Artístico/Cultural/Folclórico
2019-09-15,FESTIVIDADE DE CONGADO DE SAPÉ,Brumadinho,MG,Religioso
2019-09-15,FESTIVAL GASTRONÔMICO RECEITAS DE FAMÍLIA,Entre Rios de Minas,MG,Gastronômico
2019-09-15,FESTIVAL ESPORTIVO DA INDEPENDENCIA,Queluzito,MG,Esportivo
2019-09-15,FESTIVAL DO TUCUNARÉ,Óbidos,PA,Artístico/Cultural/Folclórico
2019-09-15,FESTIVAL DE MÚSICA,Vigia,PA,Artístico/Cultural/Folclórico
2019-09-15,FESTA NOSSA SENHORA DAS DORES,Gonçalves,MG,Religioso
2019-09-15,FESTA EM LOUVOR A NOSSA SENHORA DO ROSÁRIO E SANTA EFIGÊNIA,São Gotardo,MG,Religioso
2019-09-15,FESTA DO MUNICÍPIO,Esmeraldas,MG,Artístico/Cultural/Folclórico
2019-09-15,FESTA DO DIVINO ESPÍRITO SANTO,Grão Mogol,MG,Artístico/Cultural/Folclórico
2019-09-15,FESTA DA PADROEIRA - NOSSA SENHORA DAS DORES,Itaguara,MG,Religioso
2019-09-15,FESTA DA CIDADE,Aimorés,MG,Social/Cívico/Histórico
2019-09-15,FESTA CULTURAL DE POTÉ,Poté,MG,Gastronômico
2019-09-15,FEIRA AGROPECUÁRIA DE XINGUARA,Xinguara,PA,Rural
2019-09-15,FEIRA AGROPECUÁRIA DE CASTANHAL,Castanhal,PA,Comercial ou Promocional
2019-09-15,FAP – FEIRA AGROPECUÁRIA DE PARAUAPEBAS,Parauapebas,PA,Comercial ou Promocional
2019-09-15,EXPO MAIS VIP KIDS,Ipatinga,MG,Outro
2019-09-15,ESTAÇÃO CINEMA – MOSTRA ABERTA E ITINERANTE DE CINEMA NACIONAL E M...,Ipatinga,MG,Artístico/Cultural/Folclórico
2019-09-15,ENCONTRO DE BANDAS DE MACUCO DE MINAS,Itumirim,MG,Artístico/Cultural/Folclórico
2019-09-15,CÍRIO DE NOSSA SENHORA DO LIVRAMENTO,Terra Alta,PA,Religioso
2019-09-15,CAVALGADA,Novorizonte,MG,Rural
2019-09-15,CAVALGADA E QUEIMA DO ALHO,Planura,MG,Artístico/Cultural/Folclórico
2019-09-15,CAVALGADA DA CIDADE DE NACIP RAYDAN,Nacip Raydan,MG,Rural
2019-09-15,AÇÃO GLOBAL MUNICIPAL,Lagoa dos Patos,MG,Artístico/Cultural/Folclórico
2019-09-15,9 SALÃO DE ARTE DE ITABIRITO,Itabirito,MG,Artístico/Cultural/Folclórico
2019-09-15,5° Corrida pela Paz no Trânsito,Sertãozinho,SP,Esportivo
2019-09-15,32 FESTA DO LEITE DE LAGOA GRANDE - MG,Lagoa Grande,MG,Gastronômico
2019-09-15,31º Cavalgada da Amizade,Bom Jesus do Tocantins,PA,Artístico/Cultural/Folclórico
2019-09-15,29a Feira da Louça de Campo Largo,Campo Largo,PR,Comercial ou Promocional
2019-09-15,25 NINGUÉM TE AMA COMO EU,Nanuque,MG,Artístico/Cultural/Folclórico
2019-09-15,14° Kerb im Tannenwald,Nova Petrópolis,RS,Religioso
2019-09-15,13ª Semana da Diversidade Cultural do Orgulho LGBTQI,Sertãozinho,SP,Artístico/Cultural/Folclórico
2019-09-15,"Expo Juquiá - Feira da Pupunha, Agronegócio e Gastronomia Regional",Juquiá,SP,Comercial ou Promocional
2019-09-15,"43ª CONCENTRAÇÃO COMUNITÁRIA, FESTA DOS ITARANENSES AUSENTES E FEI...",Itarana,ES,Artístico/Cultural/Folclórico
2019-09-14,VI FESTA DO DIVINENSE AUSENTE E X CAVALGADA DA UNIÃO,São José do Divino,MG,Artístico/Cultural/Folclórico
2019-09-14,TRADICIONAL FESTA DE NOSSA SENHORA DAS DORES,Dores de Guanhães,MG,Artístico/Cultural/Folclórico
2019-09-14,JUBILEU DO SENHOR BOM JESUS DO MATOZINHOS,Congonhas,MG,Religioso
2019-09-14,JUBILEU DO BOM JESUS,Manhumirim,MG,Religioso
2019-09-14,JUBILEU DO BOM JESUS DE PIRAPETINGA 2019,Caputira,MG,Religioso
2019-09-14,Feira de Artesanato e Gastronomia da Estrada de Ferro,Vianópolis,GO,Artístico/Cultural/Folclórico
2019-09-14,FESTIVAL GASTRONÔMICO ARTE E SABOR,Serra dos Aimorés,MG,Gastronômico
2019-09-14,FESTA DE CONGADO,Caranaíba,MG,Religioso
2019-09-14,Cruz das Posses Rodeio Fest,Sertãozinho,SP,Artístico/Cultural/Folclórico
2019-09-14,CARIMOLHADO,Marapanim,PA,Artístico/Cultural/Folclórico
2019-09-14,A Noite do Marabaixo Estilizado,Macapá,AP,Artístico/Cultural/Folclórico
2019-09-14,88 JUBILEU DO GROTA,Jequeri,MG,Religioso
2019-09-14,5º FESTIVAL DE MÚSICA LIVRE,Paranaguá,PR,Artístico/Cultural/Folclórico
2019-09-14,2 FESTIVAL DA LUA CHEIA,Onça de Pitangui,MG,Religioso
2019-09-14,10 FESTIVAL COMIDA DE BOTECO,Extrema,MG,Gastronômico
2019-09-14,10 ENCONTRO NACIONAL DE MOTOCICLISMO,Itabirito,MG,Esportivo
2019-09-13,XXVII FESTIVAL DO ABACAXI 2019,Porto Grande,AP,Rural
2019-09-13,FESTA DE NOSSA SENHORA DO ROSÁRIO E SÃO BENEDITO,Matutina,MG,Religioso
2019-09-12,JUBILEU DE BOM JESUS EM ANGICOS,Carmo do Cajuru,MG,Religioso
2019-09-12,FESTA DO PADROEIRO SENHOR BOM JESUS DE POTÉ,Poté,MG,Religioso
2019-09-12,EXPOSIBRAM 2019,Belo Horizonte,MG,Outro
2019-09-12,EXPOSIBRAM 2019 – EXPO & CONGRESSO BRASILEIRO DE MINERAÇÃO,Belo Horizonte,MG,Outro
2019-09-10,CÍRIO E FESTIVIDADE DE NOSSA SENHORA DO SOCORRO,Salinópolis,PA,Religioso
2019-09-09,TORNEIO DE PESCA DA VILA DA GALDINA,Salinópolis,PA,Esportivo
2019-09-09,SEPTEMBER MOTOFEST,Patos de Minas,MG,Artístico/Cultural/Folclórico
2019-09-09,Festa de Nossa Senhora dos Remédios,Arraias,TO,Religioso
2019-09-09,FESTICAP,Cachoeira de Pajeú,MG,Artístico/Cultural/Folclórico
2019-09-09,FANFEST Guamá (Festival de bandas fanfarras),São Miguel do Guamá,PA,Social/Cívico/Histórico
2019-09-08,XXII FESTA DO CARRO DE BOI,Piedade dos Gerais,MG,Artístico/Cultural/Folclórico
2019-09-08,XX Encontro Nacional dos  Carros Antigos de Águas de São Pedro,Águas de São Pedro,SP,Comercial ou Promocional
2019-09-08,Passo a Paço,Manaus,AM,Artístico/Cultural/Folclórico
2019-09-08,PEDAL SERRA DO CABRAL,Joaquim Felício,MG,Esportivo
2019-09-08,PEDAL PIMENTA,Pimenta,MG,Ecoturismo
2019-09-08,MOSCOXAVES -  MOSTRA CULTURAL DE DESENVOLVIMENTO ECONÔMICO E TURÍSTI...,Coronel Xavier Chaves,MG,Gastronômico
2019-09-08,MICARETA RAIO DE SOL,Ibiaí,MG,Esportivo
2019-09-08,IBIRITÉ GOURMET,Ibirité,MG,Gastronômico
2019-09-08,GINCANA DA INDEPENDÊNCIA,Carmo do Cajuru,MG,Esportivo
2019-09-08,GASTROARTE DA CHAPADA,Ouro Preto,MG,Artístico/Cultural/Folclórico
2019-09-08,Festival de Frutos do Mar e da Torta Capixaba,Vitória,ES,Gastronômico
2019-09-08,Festival da Moqueca Capixaba,Anchieta,ES,Gastronômico
2019-09-08,Festival da Independencia,Colina,SP,Social/Cívico/Histórico
2019-09-08,Festival Gastronômico e Cultural Sabores do Peixe,Capitólio,MG,Gastronômico
2019-09-08,Festival Evangélico,Oeiras do Pará,PA,Religioso
2019-09-08,Festa do Pescador,Cananéia,SP,Artístico/Cultural/Folclórico
2019-09-08,Festa das Orquídeas,Blumenau,SC,Comercial ou Promocional
2019-09-08,Feirinha da Servidão,Blumenau,SC,Artístico/Cultural/Folclórico
2019-09-08,FESTUR - FESTIVAL DA CANÇÃO EM TURMALINA,Turmalina,MG,Artístico/Cultural/Folclórico
2019-09-08,FESTIVAL GASTRONÔMICO DE SÃO JOAQUIM DE BICAS EM AROMAS E SABORES,São Joaquim de Bicas,MG,Gastronômico
2019-09-08,FESTIVAL DO AÇAI – 2º EDIÇÃO,Itupiranga,PA,Gastronômico
2019-09-08,FESTIVAL DE GASTRONOMIA DE TIMOTEO,Timóteo,MG,Artístico/Cultural/Folclórico
2019-09-08,FESTIVAL DA DOURADA,Gurupá,PA,Gastronômico
2019-09-08,FESTA NOSSA SENHORA DE NAZARETH,Caeté,MG,Religioso
2019-09-08,FESTA DO VAQUEIRO DE IBIRAPUÃ,Ibirapuã,BA,Rural
2019-09-08,FESTA DO MODESTINENSE AUSENTE,Senador Modestino Gonçalves,MG,Artístico/Cultural/Folclórico
2019-09-08,FESTA DO DIVINO ESPÍRITO SANTO EM CURIMATAÍ,Buenópolis,MG,Artístico/Cultural/Folclórico
2019-09-08,FESTA DO CARRO DE BOI EM BURITIZEIRO,Buritizeiro,MG,Outro
2019-09-08,FEIRA LOCAL DA PRIMAVERA,São João Nepomuceno,MG,Outro
2019-09-08,FEIRA DE DOCE MINEIRO,Ipatinga,MG,Gastronômico
2019-09-08,FEIRA DA CACHAÇA DE ESMERALDAS,Esmeraldas,MG,Gastronômico
2019-09-08,FEIRA AGROPECUÁRIA DE ITUPIRANGA (EXPO ITU) – 18ª EDIÇÃO,Itupiranga,PA,Comercial ou Promocional
2019-09-08,ENCONTRO DE CAVALEIROS E AMAZONAS,Marliéria,MG,Outro
2019-09-08,ENCONTRO DE CARRO ANTIGOS,Ijaci,MG,Outro
2019-09-08,DESAFIO MUCUGÊ,Mucugê,BA,Esportivo
2019-09-08,CÍRIO DE NOSSA SENHORA DE NAZARÉ – 18ª EDIÇÃO,Itupiranga,PA,Religioso
2019-09-08,CÍRIO DE NOSSA SENHORA DE NAZARÉ EM VIGIA,Vigia,PA,Religioso
2019-09-08,CÍRIO DE NOSSA SENHORA AUXILIADORA 2019,Santa Maria do Pará,PA,Religioso
2019-09-08,CRICKET RACING - CORRIDA COM OBSTÁCULOS,Jaguaruna,SC,Esportivo
2019-09-08,CONGRESSO MINEIRO DE DANÇA DO VENTRE,Belo Horizonte,MG,Artístico/Cultural/Folclórico
2019-09-08,CAVALGADA CULTURAL DE POTÉ,Poté,MG,Artístico/Cultural/Folclórico
2019-09-08,CAMARU 2019,Uberlândia,MG,Rural
2019-09-08,CAFÉ COM BISCOITO,São Tiago,MG,Gastronômico
2019-09-08,BRUMADINHO GOURMET,Brumadinho,MG,Gastronômico
2019-09-08,BRODOWSKI RODEIO SHOW,Brodowski,SP,Artístico/Cultural/Folclórico
2019-09-08,8° Copa Sertão de Jiu-Jitsu,Sertãozinho,SP,Esportivo
2019-09-08,6o Festival Gastronômico e Cultural Sabores do Peixe,Capitólio,MG,Gastronômico
2019-09-08,468º Aniversário de Vitória,Vitória,ES,Artístico/Cultural/Folclórico
2019-09-08,3º Festival da Moqueca Capixaba,Anchieta,ES,Gastronômico
2019-09-08,37ª Schlachtfest,São Bento do Sul,SC,Artístico/Cultural/Folclórico
2019-09-08,30ª Pommerfest – Festival da Imigração Pomerana,Domingos Martins,ES,Artístico/Cultural/Folclórico
2019-09-08,30ª Pommerfest - Festival da Imigração Pomerana,Domingos Martins,ES,Artístico/Cultural/Folclórico
2019-09-08,3 TROLADA DAS VIRTUDES,Três Pontas,MG,Outro
2019-09-08,2ª Festa do Peixe,Aquidauana,MS,Gastronômico
2019-09-08,26 FESTIVAL DA CACHAÇA,Novo Cruzeiro,MG,Artístico/Cultural/Folclórico
2019-09-08,26 FESTA DO PEÃO E CAVALGADA,Virgolândia,MG,Rural
2019-09-08,"Festival Gastronômico e Cultural Minas ,Fogão e Viola",Itamonte,MG,Gastronômico
2019-09-08,"FESTA EM LOUVOR A NOSSA SENHORA DO ROSÁRIO, SÃO BENEDITO E SANTA EFI...",Serra do Salitre,MG,Religioso
2019-09-08,"FESTA DO DIVINO, NOSSA SENHORA DO ROSÁRIO E SAGRADO CORAÇÃO DE JESU...",Jaboticatubas,MG,Religioso
2019-09-07,XVI- EXPOTAI- EXPOSIÇAO AGROPECUARIA DE TAILANDIA -PA,Tailândia,PA,Artístico/Cultural/Folclórico
2019-09-07,VI BlumenKuchen - O Festival Blumenauense da Cuca,Blumenau,SC,Gastronômico
2019-09-07,Travessia a Nado do Rio Paraná,Panorama,SP,Esportivo
2019-09-07,Semana da Pátria,Maracanã,PA,Social/Cívico/Histórico
2019-09-07,Semana da Pátria,Canela,RS,Social/Cívico/Histórico
2019-09-07,SEMANA DA PÁTRIA,Campo Belo,MG,Social/Cívico/Histórico
2019-09-07,SEMANA DA PÁTRIA E DESFILE CÍVICO  DE SETE DE SETEMBRO,Carmo do Cajuru,MG,Social/Cívico/Histórico
2019-09-07,QUITANDAS DE MINAS,Coqueiral,MG,Artístico/Cultural/Folclórico
2019-09-07,PIMENTA VOADORA,Pimenta,MG,Esportivo
2019-09-07,NICO LOCO 2019,Viçosa,MG,Outro
2019-09-07,MOTOCROSS 2019,Argirita,MG,Esportivo
2019-09-07,Jantar da Orquestra de Acordeões,Santa Tereza,RS,Artístico/Cultural/Folclórico
2019-09-07,INDEPENDÊNCIA DO BRASIL,Formiga,MG,Social/Cívico/Histórico
2019-09-07,INDEPENDÊNCIA DO BRASIL,Acaiaca,MG,Social/Cívico/Histórico
2019-09-07,III FESTIVAL GASTRONÔMICO SABORES DE JEQUERI,Jequeri,MG,Gastronômico
2019-09-07,FLICRISTINA,Cristina,MG,Outro
2019-09-07,FESTIVAL NACIONAL DA CANÇÃO,Boa Esperança,MG,Artístico/Cultural/Folclórico
2019-09-07,FESTIVAL GASTRONÔMICO,Rodeiro,MG,Gastronômico
2019-09-07,FESTA DE SETEMBRO EM JOAQUIM FELÍCIO,Joaquim Felício,MG,Religioso
2019-09-07,FESTA DE NOSSA SENHORA DO ROSÁRIO - (CONGADO),Oliveira,MG,Artístico/Cultural/Folclórico
2019-09-07,EXPOVALES - EXPOSIÇÃO AGROPECUÁRIA DOS VALES DO MUCURI JEQUITINHONH...,Teófilo Otoni,MG,Rural
2019-09-07,ENDURO DA INDEPENDÊNCIA,Lavras,MG,Esportivo
2019-09-07,ENDURO DA INDEPENDÊNCIA,Itajubá,MG,Social/Cívico/Histórico
2019-09-07,DIA DA DIGINIDADE NEGRA,Cristais,MG,Artístico/Cultural/Folclórico
2019-09-07,DESFILE CÍVICO DE 7 DE SETEMBRO - 197 ANOS DA INDEPENDÊNCIA DO BRASI...,Arapiraca,AL,Social/Cívico/Histórico
2019-09-07,DESFILE CÍVICO CULTURAL 2019,Espera Feliz,MG,Social/Cívico/Histórico
2019-09-07,DESFILE CÍVICO 7 DE SETEMBRO,Queluzito,MG,Social/Cívico/Histórico
2019-09-07,DESFILE CIVICO  7 DE SETEMBRO,Itaipé,MG,Social/Cívico/Histórico
2019-09-07,DESFILE 7 DE SETEMBRO,Poté,MG,Social/Cívico/Histórico
2019-09-07,CAVALHADA NOSSA SENHORA DE NAZARETH,Caeté,MG,Religioso
2019-09-07,CARNAMARIAS,Três Marias,MG,Artístico/Cultural/Folclórico
2019-09-07,ANIVERSÁRIO DA CIDADE DE ITABIRITO - DESFILE CÍVICO,Itabirito,MG,Social/Cívico/Histórico
2019-09-07,7 DE SETEMBRO,Cristais,MG,Social/Cívico/Histórico
2019-09-07,7 DE SETEMBRO,Capelinha,MG,Social/Cívico/Histórico
2019-09-07,31 SEMANA DA CULTURA,São João Evangelista,MG,Artístico/Cultural/Folclórico
2019-09-07,19º Passeio da Independência,Castelo,ES,Esportivo
2019-09-07,10 TORNEIO NACIONAL DE PESCA ESPORTIVA,Três Marias,MG,Esportivo
2019-09-07,"FINECAP -  Feira Intermunicipal de Educação, Cultura, Turismo e Neg�...",Pau dos Ferros,RN,Social/Cívico/Histórico
2019-09-06,SHOW DE CALOUROS,João Pinheiro,MG,Outro
2019-09-06,IV SEMINÁRIO URBANISMO E URBANISTAS NO BRASIL,Belo Horizonte,MG,Outro
2019-09-06,FESTIVAL DA TILÁPIA,Morada Nova de Minas,MG,Gastronômico
2019-09-06,EXPOSIÇÃO AGROPECUÁRIA AAVA,Tomé-Açú,PA,Comercial ou Promocional
2019-09-06,Desfile Cívico de 07 de Setembro de Icó-CE,Icó,CE,Social/Cívico/Histórico
2019-09-06,DESFILE CÍVICO,Dom Eliseu,PA,Social/Cívico/Histórico
2019-09-05,XXII FESTA DO PEÃO BOIADEIRO E PRODUTOR RURAL,Piedade dos Gerais,MG,Artístico/Cultural/Folclórico
2019-09-05,FESTIVAL DE PRATOS TÍPICOS,Serra do Salitre,MG,Gastronômico
2019-09-04,CAVALGADA DA COLHEITA,Canaã,MG,Rural
2019-09-02,Romaria de Finados,Juazeiro do Norte,CE,Religioso
2019-09-02,FESTA DO FAZENDEIRO,Rio Paranaíba,MG,Outro
2019-09-02,FESTA DA PAZ 2019,Espera Feliz,MG,Outro
2019-09-01,XXVIII FEIRA DE ARTE E CULTURA,Moju,PA,Artístico/Cultural/Folclórico
2019-09-01,Semana Farroupilha,Canela,RS,Artístico/Cultural/Folclórico
2019-09-01,II FESTIVAL DE PESCA ESPORTIVA 2019,Barra do Garças,MT,Esportivo
2019-09-01,FESTIVAL DO MORANGO DE ESTIVA,Estiva,MG,Artístico/Cultural/Folclórico
2019-09-01,FESTIVAL DE PIPAS,Carmo do Cajuru,MG,Artístico/Cultural/Folclórico
2019-09-01,FESTIVAL DE PIPAS E PAPAGAIOS,Itabirito,MG,Esportivo
2019-09-01,FESTIVAL DE CIRANDAS DE MANACAPURU,Manacapuru,AM,Artístico/Cultural/Folclórico
2019-09-01,FESTIVAL CULTURA E GASTRONOMIA TIRADENTES,Tiradentes,MG,Gastronômico
2019-09-01,FENACAMPO,São Gotardo,MG,Outro
2019-09-01,EXPOCLAUDIO,Cláudio,MG,Outro
2019-09-01,CAVALGADA DE TAILÂNDIA ESTADO DO PARÁ,Tailândia,PA,Rural
2019-09-01,ANIVERSÁRIO DO MUNICÍPIO  DE TOMÉ-AÇU,Tomé-Açú,PA,Artístico/Cultural/Folclórico
2019-09-01,3ª Meia Maratona da Represa,Ferreira Gomes,AP,Esportivo
2019-09-01,23ª FEIRA PAN-AMAZONICA DO LIVRO E DAS MULTIVOZES,Belém,PA,Artístico/Cultural/Folclórico
2019-09-01,16º Blue Cloud - ENCONTRO NACIONAL DE DKW-VEMAG,Poços de Caldas,MG,Outro
2019-08-31,X CONGRESSO DE GERIATRIA E GERONTOLOGIA,Belo Horizonte,MG,Outro
2019-08-31,Teatro A Gosto,Sertãozinho,SP,Artístico/Cultural/Folclórico
2019-08-31,Noite Especial Gospel do Seridó,Currais Novos,RN,Religioso
2019-08-31,HARMONIZA NOVA LIMA,Nova Lima,MG,Gastronômico
2019-08-31,FILÓ ITALIANO,Santa Tereza,RS,Artístico/Cultural/Folclórico
2019-08-31,FESTIVAL DE CALOUROS,Campanário,MG,Artístico/Cultural/Folclórico
2019-08-31,FESTA NOSSA SENHORA DE NAZARÉ,Nazareno,MG,Religioso
2019-08-31,CÍRIO DE SÃO RAIMUNDO,Baião,PA,Religioso
2019-08-31,COMIDA DE BOTECO ÁGUA NA BOCA,Pequi,MG,Gastronômico
2019-08-31,ANIVERSÁRIO DE CAMPANÁRIO,Campanário,MG,Social/Cívico/Histórico
2019-08-30,III Copa Intermunicipal de Futsal,Várzea,PB,Esportivo
2019-08-30,FLID – FESTA LITERÁRIA DE DIVINÓPOLIS,Divinópolis,MG,Artístico/Cultural/Folclórico
2019-08-30,FESTEJO DE SÃO RAIMUNDO  28ª EDIÇÃO,Itupiranga,PA,Religioso
2019-08-30,31º Simpósio de Educação Infantil do  Vale do Sinos e Caí - 6ª E...,Novo Hamburgo,RS,Científico ou Técnico
2019-08-29,Festejo de São Miguel,Cajueiro da Praia,PI,Religioso
2019-08-29,"CITIES - CONGRESSO INTERNACIONAL DE TECNOLOGIA, INOVAÇÃO, EMPREENDED...",Uberlândia,MG,Outro
2019-08-28,Festa de Sant'Ana de Caicó,Caicó,RN,Religioso
2019-08-28,Feira Education USA 2019 - Brasilia,Brasília,DF,Artístico/Cultural/Folclórico
2019-08-28,ANIVERSÁRIO DO MUNICÍPIO,Moju,PA,Social/Cívico/Histórico
2019-08-27,FESTIVAL DA MANDIOCA,Juruti,PA,Artístico/Cultural/Folclórico
2019-08-26,ENCONTRO DE SANFONEIROS,Conceição da Barra de Minas,MG,Artístico/Cultural/Folclórico
2019-08-25,XXX FECALD,Durandé,MG,Outro
2019-08-25,XXV FESTIVAL DO TUCUNARÉ,Tucuruí,PA,Artístico/Cultural/Folclórico
2019-08-25,VI Caminhada Internacional na Natureza,Turvo,PR,Rural
2019-08-25,VI - Semana do Folclore de Luziânia,Luziânia,GO,Artístico/Cultural/Folclórico
2019-08-25,VERÃO VIVO APINAGÉS,São João do Araguaia,PA,Artístico/Cultural/Folclórico
2019-08-25,SIMPÓSIO MINEIRO DE CLÍNICA E REPRODUÇÃO EQUINA - SIMCRE,Belo Horizonte,MG,Outro
2019-08-25,SHOW DOS ARTISTAS DA TERRA DE PORTINARI,Brodowski,SP,Artístico/Cultural/Folclórico
2019-08-25,PASSEIO CICLÍSTICO COM NOSSA SENHORA,Nova Timboteua,PA,Religioso
2019-08-25,IX FESTIVAL DO FOLCLORE E CARIMBÓ,Soure,PA,Artístico/Cultural/Folclórico
2019-08-25,GOLDEN BIKER EXTREME EM ITABIRITO,Itabirito,MG,Esportivo
2019-08-25,FESTIVIDADE DE CONGADO DE SANTA EFIGÊNIA,Brumadinho,MG,Religioso
2019-08-25,FESTIVAL DE INVERNO DE SÃO CAETANO 2019,Caputira,MG,Artístico/Cultural/Folclórico
2019-08-25,FESTA DOS ROMEIROS,Bicas,MG,Religioso
